Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C112, C113, C114, C115, C116, C117, C118, C119, C120, C24, C35, C36, C37, C39, C40, C41, C42, C43, C45, C47, C5, C6, C60, C61, C62, C64, C65, C67, C68, C7, C70, C72, C73, C74, C75, C76, C77, C78, C80, C90, C91",C_0402,43,4.7uF,C23733
"C106, C107",C_0402,2,6.8pF,C1576
"C108, C109, C110, C111, C131, C156, C157, C158, C32, C33, C34, C51, C55, C94, C95, C96",C_1206,16,47uF,C96123
"C14, C15, C16, C230, C239, C401, C59, C88",C_0402,8,1uF,C52923
"C17, C18, C203, C204, C234, C237, C238, C240",C_0805,8,2.2nF,C28260
"C19, C20, C21, C22, C229, C233, C241, C26, C28, C29, C89",C_0402,11,10uF,C15525
"C201, C202, C219, C220, C50, C63",C_0402,6,100pF,C1546
"C205, C206, C207, C208",C_Elec_5x5.8,4,10uF 16V,C1984751
"C209, C210, C211, C212, C213, C214, C215, C216, C217, C218, C4, C56, C57, C87",C_0402,14,100nF,C1525
"C23, C48, C49, C81, C82, C83",C_0805,6,10uF,C440198
"C3, C54, C84, C85, C86",C_0402,5,100nF,C307331
C31,C_0402,1,220nF,C16772
"C404, C405",C_0603,2,10uF,C96446
C52,CP_EIA-7343-31_Kemet-D,1,"100u, 60mR",
C53,C_0603,1,1uF,C15849
"C66, C79",C_0402,2,10nF,C15195
C97,0603,1,10nF,
C98,0603,1,4.7nF,
D1,D_SOD-123FL,1,SMF20CA,C42371747
"D10, D2, D3, D5, D8, D9",D_DFN1006-2L,6,ESD401,C7420372
"D11, D12, D13, D14, D15, D16, D17, D18, D19",D_DFN1006-2L,9,H5VL10B,C7420372
D20,D_SOD-123,1,1N4148W,C81598
"D4, D7",D_SOD-123,2,B5819W,C64885
D6,D_SMA,1,SS14,C2480
IC2,BGA-225_15x15_11.0x11.0mm,1,R7KA8P1KFLCAB#UC0,
J1,J_Wurth_WR-MM_690367280676,1,UI Board Connector,
"J17, J7",Jack_6.35mm_Neutrik_NRJ6HF_Horizontal,2,Out,
J2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,
J3,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,9V,
J5,Jack_6.35mm_Neutrik_NRJ6HF_Horizontal,1,IN_R,
J6,Jack_6.35mm_Neutrik_NRJ6HF_Horizontal,1,IN_L,
J9,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_14P,
K1,Relay_DPDT_Omron_G6K-2F-Y,1,G6K-2,
L1,L_Wuerth_MAPI-4030,1,4.7uH,
L3,WE-PD_1030P,1,4.7uf,
L4,L_7.3x7.3_H3.5,1,22uH,
"L6, L7",L_Sunlord_MWSA0518S,2,10u,C139506
Q3,SOT-23,1,BC846,
"R1, R15",R_0402,2,5.1kΩ,C25905
R11,R_0805,1,22kΩ,C17560
R12,R_0402,1,1,
"R13, R14, R16, R221, R222, R224, R225",R_0402,7,1kΩ,C11702
"R17, R205, R208, R211, R212, R22, R32, R33, R7, R9",R_0402,10,3.3kΩ,C25890
"R18, R26, R28",R_0402,3,100kΩ,C25741
"R2, R23, R25, R29",R_0402,4,47Ω,C25118
"R201, R202, R217, R218, R219, R220",R_0402,6,100Ω,C25076
"R203, R204",R_0402,2,1MΩ,C26083
"R206, R209, R213, R215",R_0402,4,3k,
"R207, R210, R214, R216",R_0402,4,1.3k,
"R223, R227",0402,2,1.65k,
"R226, R228",R_0402,2,1.65k,
"R27, R48",R_0402,2,510kΩ,C11616
"R31, R35, R58, R60",R_0402,4,10kΩ,C25744
"R34, R47",R_0402,2,1.5kΩ,C25867
"R36, R39, R40, R43",0805,4,"100,0.1%",
R44,R_0402,1,12kΩ,C25752
R45,R_0603,1,110kΩ,C25805
R46,R_0603,1,8.2kΩ,C25981
R5,R_0402,1,75kΩ,C25798
R55,R_0402x4,1,10kΩ,C25725
"R59, R61",0402,2,R,
R8,R_0402,1,24kΩ,C25769
TP1,GEN_TP_PCB,1,3.3V,
TP10,GEN_TP_PCB,1,FB3,
TP11,TestPoint_Pad_1.0x1.0mm,1,+6.5V,
TP12,TestPoint_Pad_1.0x1.0mm,1,-6.5V,
TP2,GEN_TP_PCB,1,Bode,
TP3,GEN_TP_PCB,1,FB,
TP4,TestPoint_Pad_1.0x1.0mm,1,3.3V_GND,
TP5,GEN_TP_PCB,1,Bode2,
TP6,GEN_TP_PCB,1,Bode3,
TP7,GEN_TP_PCB,1,7V,
TP8,GEN_TP_PCB,1,-7V,
TP9,GEN_TP_PCB,1,FB2,
U1,TSOP-II-54_22.2x10.16mm_P0.8mm,1,W9825G6KH-6,C97572
U10,SOIC16_DW_TEX-L,1,ISOUSB111DWXR,
U11,SOP-8-1EP_4.57x4.57mm_P1.27mm_EP4.57x4.45mm_ThermalVias,1,RT8293B,
U12,SOT-666,1,USBLC6-2P6,
U13,TI_SO-PowerPAD-8,1,TPS259630,
