Designator,Mid X,Mid Y,Rotation,Layer
C10,220.543096,-131.115,0.0,bottom
C106,179.655,-159.13,90.0,top
C107,175.442499,-155.15,180.0,top
C108,153.832499,-159.905,90.0,top
C109,156.232499,-159.905,90.0,top
C11,216.523096,-128.765,0.0,bottom
C110,158.592499,-159.96,90.0,top
C111,160.952499,-159.96,90.0,top
C112,208.615,-144.10565,90.0,top
C113,208.625,-148.47565,90.0,top
C114,221.60935,-124.43565,90.0,top
C115,230.705,-125.49,90.0,top
C116,223.155,-148.43565,270.0,top
C117,210.005,-161.16,0.0,top
C118,223.125,-143.40565,270.0,top
C119,208.93935,-124.2863,0.0,top
C120,221.61935,-122.5463,90.0,top
C131,153.832499,-155.245,90.0,top
C14,227.095,-105.15,0.0,top
C15,197.065,-137.26,270.0,top
C156,156.232499,-155.245,90.0,top
C157,158.582499,-155.27,90.0,top
C158,160.942499,-155.27,90.0,top
C16,197.075,-139.16,90.0,top
C17,237.75,-154.52,270.0,top
C19,231.37,-153.74,270.0,top
C20,230.436667,-153.74,270.0,top
C201,146.415,-122.7175,180.0,top
C202,154.795,-123.1275,0.0,top
C203,153.8625,-136.2975,270.0,top
C204,150.838788,-130.323398,0.0,top
C205,157.9,-139.3,0.0,top
C206,157.86,-133.34,0.0,top
C207,166.861368,-136.698866,0.0,top
C208,166.856134,-130.776368,0.0,top
C209,174.335,-122.33,90.0,top
C21,229.503333,-153.74,270.0,top
C210,165.955,-126.1,90.0,top
C211,146.415,-124.5175,180.0,top
C212,154.795,-122.2975,180.0,top
C213,157.01,-124.318451,270.0,top
C214,164.295,-122.33,90.0,top
C215,146.361369,-129.731287,180.0,top
C216,151.826367,-125.328553,0.0,top
C217,155.655,-129.84,0.0,top
C218,160.2425,-125.375,0.0,top
C219,181.79,-113.67,270.0,bottom
C22,228.57,-153.74,270.0,top
C220,198.56,-113.68,90.0,bottom
C229,180.935,-133.8825,0.0,top
C23,239.675,-135.7,0.0,top
C230,174.2475,-133.575,90.0,top
C233,180.9475,-136.62,0.0,top
C234,146.765,-136.3825,180.0,top
C237,146.81,-138.4325,180.0,top
C238,150.2125,-138.39,0.0,top
C239,180.9575,-137.54,0.0,top
C24,217.44,-127.418096,90.0,bottom
C240,150.2125,-136.38,0.0,top
C241,179.075,-138.41,0.0,top
C26,182.974999,-154.8575,270.0,top
C28,185.602499,-154.86,270.0,top
C29,183.864999,-154.8475,270.0,top
C3,241.15,-143.24,90.0,top
C31,175.442499,-156.8,0.0,top
C32,169.935,-150.9,0.0,top
C33,169.935,-153.322501,0.0,top
C34,175.842499,-149.805,270.0,top
C35,215.09,-132.558096,90.0,bottom
C36,213.45,-130.401904,270.0,bottom
C37,214.873096,-127.945,0.0,bottom
C39,216.72,-132.558096,90.0,bottom
C4,240.17,-153.72,270.0,top
C40,217.55,-132.558096,90.0,bottom
C401,169.032499,-157.45,270.0,top
C404,167.222499,-160.855,180.0,top
C405,167.212499,-155.185,0.0,top
C41,218.28,-126.868096,90.0,bottom
C42,220.223096,-126.195,0.0,bottom
C43,214.29,-132.558096,90.0,bottom
C45,215.89,-132.558096,90.0,bottom
C47,205.165,-128.8,90.0,top
C48,239.675,-137.8,0.0,top
C49,239.675,-139.9,0.0,top
C5,215.06,-126.638096,90.0,bottom
C50,198.58,-106.33,270.0,bottom
C51,173.542499,-149.8,270.0,top
C52,237.4,-132.2,180.0,top
C53,241.65,-118.24,270.0,top
C54,237.115,-113.32,180.0,top
C55,185.692499,-162.75,270.0,top
C56,144.64375,-135.38875,270.0,top
C57,211.065,-132.95,270.0,bottom
C59,224.9,-102.45,0.0,top
C6,211.06,-131.101904,270.0,bottom
C60,206.065,-128.8,90.0,top
C61,208.59935,-128.81565,90.0,top
C62,219.22,-130.765,90.0,bottom
C63,181.77,-106.33,270.0,bottom
C64,214.29225,-130.765,90.0,bottom
C65,207.72935,-128.81565,90.0,top
C66,163.752499,-155.96,90.0,top
C67,208.11935,-140.4513,180.0,top
C68,216.688808,-130.765,90.0,bottom
C7,211.94,-131.101904,270.0,bottom
C70,214.723096,-128.775,0.0,bottom
C72,209.44935,-128.81565,90.0,top
C73,217.535,-130.765,90.0,bottom
C74,218.38,-130.765,270.0,bottom
C75,206.865,-128.8,90.0,top
C76,225.005,-130.05,0.0,bottom
C77,226.015,-134.06,180.0,bottom
C78,229.025,-132.34,270.0,bottom
C79,163.752499,-159.86,90.0,top
C80,208.08935,-138.8413,180.0,top
C81,239.675,-135.7,180.0,bottom
C82,236.135,-138.56,180.0,top
C83,236.145,-136.48,180.0,top
C84,237.115,-112.42,180.0,top
C85,237.115,-111.52,180.0,top
C86,237.115,-110.62,180.0,top
C87,152.66375,-132.48125,180.0,top
C88,218.23,-102.45,180.0,top
C89,184.742499,-154.85,270.0,top
C90,215.89,-130.765,90.0,bottom
C91,215.09,-130.765,90.0,bottom
C94,183.392499,-162.75,270.0,top
C95,179.892499,-162.4,180.0,top
C96,188.015,-162.75,270.0,top
C97,178.342499,-159.7,270.0,top
C98,176.092499,-157.95,180.0,top
D1,234.9,-107.875,180.0,top
D10,183.065,-106.8,180.0,bottom
D11,189.745,-145.37,180.0,top
D12,192.945,-145.37,0.0,top
D13,191.345,-145.37,180.0,top
D14,194.545,-145.37,0.0,top
D15,196.145,-145.37,0.0,top
D16,197.985,-138.26,90.0,top
D17,202.665,-154.9,180.0,top
D18,199.365,-154.7,180.0,top
D19,205.665,-154.9,0.0,top
D2,148.065,-113.2,180.0,bottom
D20,186.635,-124.22,270.0,top
D3,199.865,-106.9,180.0,bottom
D4,174.692499,-153.35,180.0,top
D5,164.965,-113.2,180.0,bottom
D6,239.9,-110.3,90.0,top
D7,184.142499,-159.3,0.0,top
D8,199.765,-113.1,180.0,bottom
D9,183.065,-114.2,180.0,bottom
IC2,216.015,-131.45,90.0,top
J1,202.9,-159.67,0.0,top
J17,202.13,-106.825,90.0,top
J2,192.9,-140.62,270.0,top
J3,235.925,-101.7,180.0,top
J5,168.19,-106.82,90.0,top
J6,151.19,-106.82,90.0,top
J7,185.155,-106.825,90.0,top
J9,221.575,-97.21,180.0,top
K1,180.035,-126.07,270.0,top
L1,207.55,-132.145,270.0,top
L3,230.05,-146.96,0.0,top
L4,236.9,-125.4,270.0,top
L6,189.992499,-156.8,270.0,top
L7,180.392499,-150.0,0.0,top
Q3,187.1775,-128.72,90.0,top
R1,218.24,-103.33,180.0,top
R11,240.57,-155.91,0.0,top
